day_of_week,date,high_temp_f,low_temp_f,precipitation_in
fri,2021-12-31 0:00:00,43,33,
thu,2021-12-30 0:00:00,37,29,
wed,2021-12-29 0:00:00,36,28,0.01
tue,2021-12-28 0:00:00,37,30,0.38
mon,2021-12-27 0:00:00,46,32,
sun,2021-12-26 0:00:00,43,26,0.69
sat,2021-12-25 0:00:00,55,32,
fri,2021-12-24 0:00:00,57,34,0.03
thu,2021-12-23 0:00:00,46,27,
wed,2021-12-22 0:00:00,31,19,
tue,2021-12-21 0:00:00,40,23,
mon,2021-12-20 0:00:00,42,30,
sun,2021-12-19 0:00:00,37,28,
sat,2021-12-18 0:00:00,40,31,0.02
fri,2021-12-17 0:00:00,40,26,0.04
thu,2021-12-16 0:00:00,66,32,
wed,2021-12-15 0:00:00,66,50,
tue,2021-12-14 0:00:00,54,32,0.03
mon,2021-12-13 0:00:00,49,33,
sun,2021-12-12 0:00:00,48,32,
sat,2021-12-11 0:00:00,58,32,
fri,2021-12-10 0:00:00,60,36,0.84
thu,2021-12-9 0:00:00,46,28,
wed,2021-12-8 0:00:00,35,25,
tue,2021-12-7 0:00:00,26,13,
mon,2021-12-6 0:00:00,38,15,
sun,2021-12-5 0:00:00,41,34,0.26
sat,2021-12-4 0:00:00,44,31,
fri,2021-12-3 0:00:00,51,37,
thu,2021-12-2 0:00:00,59,44,
wed,2021-12-1 0:00:00,49,34,
tue,2021-11-30 0:00:00,53,34,
mon,2021-11-29 0:00:00,41,27,
sun,2021-11-28 0:00:00,41,27,
sat,2021-11-27 0:00:00,42,30,
fri,2021-11-26 0:00:00,31,18,
thu,2021-11-25 0:00:00,48,23,
wed,2021-11-24 0:00:00,53,37,0.04
tue,2021-11-23 0:00:00,43,24,
mon,2021-11-22 0:00:00,36,23,
sun,2021-11-21 0:00:00,55,30,
sat,2021-11-20 0:00:00,50,36,
fri,2021-11-19 0:00:00,40,26,
thu,2021-11-18 0:00:00,40,32,
wed,2021-11-17 0:00:00,61,40,0.13
tue,2021-11-16 0:00:00,56,30,
mon,2021-11-15 0:00:00,36,30,0.01
sun,2021-11-14 0:00:00,37,33,0.01
sat,2021-11-13 0:00:00,39,33,0.03
fri,2021-11-12 0:00:00,43,35,0.05
thu,2021-11-11 0:00:00,57,41,0.44
wed,2021-11-10 0:00:00,71,38,
tue,2021-11-9 0:00:00,58,42,
mon,2021-11-8 0:00:00,65,49,
sun,2021-11-7 0:00:00,65,41,
sat,2021-11-6 0:00:00,59,36,
fri,2021-11-5 0:00:00,52,34,
thu,2021-11-4 0:00:00,47,29,
wed,2021-11-3 0:00:00,45,29,
tue,2021-11-2 0:00:00,47,32,
mon,2021-11-1 0:00:00,49,35,
sun,2021-10-31 0:00:00,53,39,
sat,2021-10-30 0:00:00,59,45,
fri,2021-10-29 0:00:00,56,53,0.5
thu,2021-10-28 0:00:00,57,48,0.51
wed,2021-10-27 0:00:00,56,38,
tue,2021-10-26 0:00:00,57,41,
mon,2021-10-25 0:00:00,55,47,0.35
sun,2021-10-24 0:00:00,51,39,2.26
sat,2021-10-23 0:00:00,56,39,
fri,2021-10-22 0:00:00,56,41,
thu,2021-10-21 0:00:00,65,44,
wed,2021-10-20 0:00:00,72,53,
tue,2021-10-19 0:00:00,71,52,
mon,2021-10-18 0:00:00,72,45,
sun,2021-10-17 0:00:00,66,42,
sat,2021-10-16 0:00:00,59,44,
fri,2021-10-15 0:00:00,62,51,0.02
thu,2021-10-14 0:00:00,71,57,0.1
wed,2021-10-13 0:00:00,71,53,0.41
tue,2021-10-12 0:00:00,65,56,
mon,2021-10-11 0:00:00,77,62,0.76
sun,2021-10-10 0:00:00,79,70,0.02
sat,2021-10-9 0:00:00,80,64,
fri,2021-10-8 0:00:00,75,62,0.02
thu,2021-10-7 0:00:00,75,65,0.63
wed,2021-10-6 0:00:00,68,64,0.03
